Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly
TRX-A933D06B,2025-12-27,Surabaya Warehouse,New Marc,Electric Van (EV),Mixed Route,100.2,12.8,High,5.514,1
TRX-568768C9,2025-10-02,Jakarta Fulfillment Center,Mcphersonshire,Drone Delivery,Urban Last Mile,11.7,14.1,Low,0.093,1
TRX-23FCFC0D,2025-05-17,Bandung Hub,Maryfort,Drone Delivery,Urban Last Mile,14.6,6.3,High,0.105,1
TRX-E0AB2CC5,2025-09-23,Surabaya Warehouse,Port Ericchester,Electric Van (EV),Mixed Route,124.1,4.5,High,6.395,1
TRX-CBC74FA3,2025-05-12,Semarang Depot,Johnberg,Diesel Van (Euro 4),Mixed Route,29.1,26.3,Normal,8.677,0
TRX-43A3EFD4,2025-04-14,Bandung Hub,Deborahstad,Electric Van (EV),Mixed Route,87.5,16.6,Normal,4.249,1
TRX-AA50C191,2025-05-24,Surabaya Warehouse,Pottston,Diesel Van (Euro 4),Mixed Route,133.7,10.0,Low,30.359,0
TRX-65AFFDC8,2025-04-21,Surabaya Warehouse,Kingburgh,Heavy Truck,Inter-City,556.4,2805.0,High,686.258,0
TRX-A666F838,2025-10-25,Surabaya Warehouse,Rollinsstad,Cargo Bicycle,Urban Last Mile,6.3,24.0,Low,0.0,1
TRX-8220B0C2,2025-02-18,Bandung Hub,Charlesfort,Cargo Bicycle,Urban Last Mile,8.7,28.0,Normal,0.0,1
TRX-DB5E2619,2025-09-30,Bandung Hub,Thomasburgh,Heavy Truck,Inter-City,730.9,2909.7,Severe Congestion,1066.471,0
TRX-8F375D44,2025-07-05,Makassar Port,Roseshire,Drone Delivery,Urban Last Mile,7.7,26.2,Normal,0.072,1
TRX-8D9267BA,2026-01-01,Medan Distribution,East Edward,Diesel Van (Euro 6),Mixed Route,70.6,5.5,Severe Congestion,21.291,0
TRX-CEB1CE31,2025-10-17,Makassar Port,Greenestad,Drone Delivery,Urban Last Mile,1.2,5.3,High,0.008,1
TRX-8DC60BB1,2025-02-17,Medan Distribution,West Anthony,Diesel Van (Euro 6),Mixed Route,145.9,1.5,Low,26.067,0
TRX-4AC26699,2025-05-01,Makassar Port,Muellerburgh,Diesel Van (Euro 6),Mixed Route,95.3,14.7,Normal,18.97,0
TRX-89BCB48F,2025-12-25,Jakarta Fulfillment Center,New Stephen,Electric Van (EV),Mixed Route,51.9,16.0,Normal,2.737,1
TRX-AEE510DD,2025-09-17,Jakarta Fulfillment Center,Port Jasmine,Cargo Bicycle,Urban Last Mile,5.1,3.2,Severe Congestion,0.0,1
TRX-AA3FC3E8,2025-05-26,Jakarta Fulfillment Center,Nicoleport,Drone Delivery,Urban Last Mile,11.6,14.3,Normal,0.096,1
TRX-04E03063,2025-03-28,Medan Distribution,East Jenniferstad,Electric Van (EV),Mixed Route,92.1,14.5,Normal,4.542,1
TRX-2DF719F0,2025-05-11,Medan Distribution,East Kathleenberg,Cargo Bicycle,Urban Last Mile,3.0,26.1,Normal,0.0,1
TRX-12E791AC,2025-08-12,Jakarta Fulfillment Center,Jimenezmouth,Diesel Van (Euro 4),Mixed Route,119.9,29.9,High,44.242,0
TRX-528D9E86,2025-08-16,Jakarta Fulfillment Center,Reyesfurt,Cargo Bicycle,Urban Last Mile,2.5,13.8,Normal,0.0,1
TRX-E8C18137,2025-12-05,Surabaya Warehouse,Jenniferport,Heavy Truck,Inter-City,304.3,4409.6,Severe Congestion,467.509,0
TRX-40C7A8C1,2025-06-29,Semarang Depot,East Erin,Heavy Truck,Inter-City,599.1,4577.2,High,792.791,0
TRX-E329511B,2025-05-20,Makassar Port,Kleinberg,Drone Delivery,Urban Last Mile,1.6,0.9,Normal,0.008,1
TRX-CBAB587E,2025-02-05,Semarang Depot,Holmesfort,Diesel Van (Euro 4),Mixed Route,144.9,14.1,Normal,44.574,0
TRX-2EF8B1C8,2025-12-03,Surabaya Warehouse,North Rhondastad,Diesel Van (Euro 6),Mixed Route,46.2,12.8,Low,8.001,0
TRX-5C3847DC,2025-11-03,Medan Distribution,East Meghanshire,Motorcycle (Courier),Inter-District,13.3,0.8,Normal,1.154,0
TRX-8C3E33FC,2025-03-18,Semarang Depot,West Daniel,Electric Van (EV),Mixed Route,111.1,8.2,Normal,5.491,1
TRX-5AD5C114,2025-07-08,Bandung Hub,Herreraport,Heavy Truck,Inter-City,159.1,2141.0,Normal,135.888,0
TRX-960F644B,2025-05-23,Medan Distribution,Riveratown,Drone Delivery,Urban Last Mile,2.1,9.0,Low,0.016,1
TRX-7962D93D,2025-01-22,Semarang Depot,New Michaelshire,Diesel Van (Euro 4),Mixed Route,44.6,2.4,High,15.213,0
TRX-5CE4BD5F,2025-07-08,Semarang Depot,Lynchside,Drone Delivery,Urban Last Mile,11.6,9.2,Normal,0.079,1
TRX-E8737E1C,2025-02-06,Bandung Hub,New Christopherland,Diesel Van (Euro 6),Mixed Route,78.1,11.9,Low,13.881,0
TRX-7750DB37,2025-10-02,Jakarta Fulfillment Center,South Brooke,Diesel Van (Euro 6),Mixed Route,17.6,20.7,Normal,3.231,0
TRX-E585D02E,2025-03-23,Makassar Port,Lake Matthewville,Drone Delivery,Urban Last Mile,5.9,12.1,High,0.046,1
TRX-81619DB1,2025-10-29,Bandung Hub,East Billymouth,Diesel Van (Euro 6),Mixed Route,133.8,11.3,Severe Congestion,38.249,0
TRX-220CF34F,2025-02-14,Surabaya Warehouse,Fergusonstad,Drone Delivery,Urban Last Mile,8.0,25.7,Low,0.08,1
TRX-819CE6DE,2025-09-10,Semarang Depot,Wilsonton,Diesel Van (Euro 4),Mixed Route,30.8,9.8,Normal,8.855,0
TRX-F663D8BF,2025-06-02,Makassar Port,Lopezborough,Diesel Van (Euro 6),Mixed Route,48.3,3.0,Low,8.92,0
TRX-E496A017,2025-04-09,Bandung Hub,Leeland,Drone Delivery,Urban Last Mile,14.0,15.5,Low,0.118,1
TRX-D9BB424E,2025-11-18,Surabaya Warehouse,Lake Shawn,Diesel Van (Euro 4),Mixed Route,98.5,15.8,High,37.919,0
TRX-C3CE46EB,2025-03-05,Bandung Hub,East Anthonyberg,Electric Van (EV),Mixed Route,140.5,4.4,High,7.717,1
TRX-F0E98FE0,2025-04-09,Jakarta Fulfillment Center,West Kimberly,Electric Van (EV),Mixed Route,118.4,13.2,High,6.004,1
TRX-5231DEED,2025-01-21,Bandung Hub,Ochoatown,Motorcycle (Courier),Inter-District,22.7,5.8,Normal,2.357,0
TRX-AD11B8D8,2025-07-05,Surabaya Warehouse,Allenside,Electric Van (EV),Mixed Route,15.4,7.3,Low,0.814,1
TRX-BA61CF1A,2025-10-06,Bandung Hub,Whiteberg,Motorcycle (Courier),Inter-District,34.8,28.2,Severe Congestion,6.078,0
TRX-B8C78710,2025-12-08,Surabaya Warehouse,Meghanberg,Diesel Van (Euro 4),Mixed Route,104.0,4.6,Low,25.775,0
TRX-1F469202,2025-03-23,Jakarta Fulfillment Center,Clarkland,Drone Delivery,Urban Last Mile,9.4,29.3,High,0.102,1
TRX-12C6C215,2025-03-02,Surabaya Warehouse,New Randytown,Cargo Bicycle,Urban Last Mile,5.0,2.2,High,0.0,1
TRX-313677D2,2025-02-01,Makassar Port,West Alexander,Motorcycle (Courier),Inter-District,14.8,3.2,Normal,1.329,0
TRX-5EF75BEB,2025-12-17,Medan Distribution,Tracystad,Motorcycle (Courier),Inter-District,37.9,2.6,High,4.595,0
TRX-2DB6B381,2025-06-19,Jakarta Fulfillment Center,Josephfort,Cargo Bicycle,Urban Last Mile,5.4,0.9,Low,0.0,1
TRX-63F0B7B1,2025-01-25,Semarang Depot,Washingtonhaven,Cargo Bicycle,Urban Last Mile,2.0,3.5,Normal,0.0,1
TRX-0E86BD08,2025-01-14,Semarang Depot,Stephenview,Motorcycle (Courier),Inter-District,16.7,21.3,Normal,1.659,0
TRX-6330D420,2025-02-15,Medan Distribution,North Jamesshire,Drone Delivery,Urban Last Mile,11.2,24.5,Normal,0.114,1
TRX-3203C3FD,2025-06-29,Surabaya Warehouse,Fischerberg,Electric Van (EV),Mixed Route,90.0,5.3,Severe Congestion,4.772,1
TRX-810862E8,2025-10-11,Surabaya Warehouse,Robertville,Diesel Van (Euro 6),Mixed Route,102.8,20.0,Severe Congestion,30.076,0
TRX-7D932BBB,2025-12-22,Semarang Depot,Codymouth,Heavy Truck,Inter-City,653.0,1032.9,High,749.794,0
TRX-3328BF29,2025-01-13,Medan Distribution,Hintonmouth,Diesel Van (Euro 6),Mixed Route,114.7,2.2,Normal,21.026,0
TRX-AF16AB3F,2025-03-11,Makassar Port,South Lisaport,Heavy Truck,Inter-City,270.6,3902.6,High,303.75,0
TRX-DA4583EB,2025-03-22,Semarang Depot,Mahoneyfurt,Electric Van (EV),Mixed Route,87.6,25.2,Normal,4.5,1
TRX-F3EA8187,2025-07-03,Medan Distribution,Markfort,Diesel Van (Euro 6),Mixed Route,86.2,26.5,High,23.322,0
TRX-DB01F9DB,2025-01-15,Makassar Port,Olsonside,Drone Delivery,Urban Last Mile,7.2,5.9,Low,0.048,1
TRX-13BE9CCB,2025-02-23,Medan Distribution,West Toddhaven,Heavy Truck,Inter-City,343.0,2887.5,Normal,330.256,0
TRX-2F8931B4,2025-01-27,Semarang Depot,Simpsontown,Cargo Bicycle,Urban Last Mile,1.8,5.1,High,0.0,1
TRX-DAE7A1A4,2025-03-27,Semarang Depot,Hernandezfurt,Electric Van (EV),Mixed Route,52.6,22.2,Normal,2.616,1
TRX-D6196F59,2025-03-20,Surabaya Warehouse,Rivasfort,Electric Van (EV),Mixed Route,100.8,11.4,Normal,4.995,1
TRX-50568F60,2025-04-05,Semarang Depot,Thorntonhaven,Motorcycle (Courier),Inter-District,7.1,27.6,High,0.978,0
TRX-0616BD73,2025-09-08,Medan Distribution,Jasonview,Motorcycle (Courier),Inter-District,13.9,27.5,Normal,1.401,0
TRX-C0C83BF0,2025-03-09,Makassar Port,Alvarezton,Motorcycle (Courier),Inter-District,39.5,26.3,Normal,4.456,0
TRX-18599F5D,2025-08-17,Makassar Port,East Lindsey,Electric Van (EV),Mixed Route,26.9,2.6,Severe Congestion,1.493,1
TRX-E804FD8F,2025-10-14,Makassar Port,Coreytown,Cargo Bicycle,Urban Last Mile,7.6,8.5,High,0.0,1
TRX-D5FB2A24,2025-03-19,Bandung Hub,Christopherton,Motorcycle (Courier),Inter-District,21.1,10.7,High,2.648,0
TRX-A68EA48E,2025-05-02,Medan Distribution,West Michael,Diesel Van (Euro 6),Mixed Route,30.6,25.3,High,7.882,0
TRX-991098BE,2025-07-16,Semarang Depot,New Katherine,Heavy Truck,Inter-City,718.6,1026.9,Low,549.352,0
TRX-001DD85B,2025-02-23,Makassar Port,New Alexanderland,Heavy Truck,Inter-City,636.6,2069.0,Low,526.593,0
TRX-F78E8066,2025-09-29,Medan Distribution,West Stephanie,Electric Van (EV),Mixed Route,76.0,24.5,Normal,3.635,1
TRX-C1ECC508,2025-01-19,Bandung Hub,South Juliebury,Heavy Truck,Inter-City,420.9,3486.5,Normal,416.36,0
TRX-0FF6579C,2025-09-24,Bandung Hub,New Davidtown,Drone Delivery,Urban Last Mile,10.9,11.4,High,0.08,1
TRX-3C2CD554,2025-07-21,Bandung Hub,Phillipsville,Electric Van (EV),Mixed Route,40.5,4.3,Normal,2.007,1
TRX-47A3A64C,2025-02-09,Surabaya Warehouse,Eddiefurt,Electric Van (EV),Mixed Route,105.9,18.9,Normal,5.173,1
TRX-73EDE738,2025-04-05,Jakarta Fulfillment Center,Margaretbury,Diesel Van (Euro 6),Mixed Route,116.7,4.3,Normal,21.088,0
TRX-C061B554,2025-02-13,Semarang Depot,South Brendaside,Motorcycle (Courier),Inter-District,28.4,13.6,High,3.842,0
TRX-E7FE6563,2025-04-19,Semarang Depot,South Jesseview,Motorcycle (Courier),Inter-District,17.0,26.0,High,2.239,0
TRX-8F806F7A,2025-02-25,Surabaya Warehouse,South Codychester,Cargo Bicycle,Urban Last Mile,6.1,14.0,Normal,0.0,1
TRX-1762E9DE,2025-06-15,Bandung Hub,Gregoryburgh,Diesel Van (Euro 6),Mixed Route,105.4,10.9,Normal,21.019,0
TRX-398C52D1,2025-11-07,Makassar Port,Annachester,Motorcycle (Courier),Inter-District,9.7,15.9,Severe Congestion,1.762,0
TRX-962B450F,2025-02-09,Medan Distribution,Sandovalview,Cargo Bicycle,Urban Last Mile,13.1,25.9,High,0.0,1
TRX-FFC66C8C,2025-10-15,Jakarta Fulfillment Center,North Kimberlyfort,Diesel Van (Euro 6),Mixed Route,127.8,23.7,Normal,24.308,0
TRX-0667805C,2025-07-11,Bandung Hub,Kaneville,Drone Delivery,Urban Last Mile,9.2,6.2,High,0.062,1
TRX-1D8C6019,2025-02-15,Makassar Port,Michaelville,Cargo Bicycle,Urban Last Mile,3.8,26.4,Normal,0.0,1
TRX-8648CDBE,2025-03-01,Jakarta Fulfillment Center,Mooreview,Motorcycle (Courier),Inter-District,21.9,16.3,High,2.736,0
TRX-2F1BB682,2025-06-10,Surabaya Warehouse,Kathleenbury,Electric Van (EV),Mixed Route,107.6,11.8,High,5.382,1
TRX-5EF9DF5C,2025-08-01,Makassar Port,Bonillastad,Drone Delivery,Urban Last Mile,1.4,3.0,High,0.008,1
TRX-4714F578,2025-02-23,Surabaya Warehouse,New Madison,Diesel Van (Euro 6),Mixed Route,91.2,11.6,High,21.919,0
TRX-E758369F,2025-12-14,Makassar Port,Wallacefort,Heavy Truck,Inter-City,490.5,3763.4,Low,410.177,0
TRX-172C284F,2025-12-24,Jakarta Fulfillment Center,New William,Heavy Truck,Inter-City,159.0,4971.9,High,197.931,0
TRX-E4E2710F,2025-03-03,Makassar Port,South Garymouth,Diesel Van (Euro 6),Mixed Route,75.2,17.9,Normal,14.45,0
TRX-B12D15CF,2025-04-08,Jakarta Fulfillment Center,Matthewview,Cargo Bicycle,Urban Last Mile,5.8,3.4,High,0.0,1
TRX-05A8B5D5,2025-06-28,Jakarta Fulfillment Center,Lake Charlesland,Diesel Van (Euro 6),Mixed Route,15.6,25.3,Normal,3.014,0
TRX-49F8F1F6,2025-03-10,Jakarta Fulfillment Center,Jessicabury,Motorcycle (Courier),Inter-District,23.7,11.3,High,2.972,0
TRX-6A25FEEF,2025-11-20,Makassar Port,Smithborough,Cargo Bicycle,Urban Last Mile,6.6,1.9,Low,0.0,1
TRX-A27B8C53,2025-11-25,Semarang Depot,Virginiaburgh,Motorcycle (Courier),Inter-District,11.5,22.1,High,1.67,0
TRX-4698B315,2025-02-06,Bandung Hub,North Allison,Drone Delivery,Urban Last Mile,5.0,10.5,Severe Congestion,0.035,1
TRX-C12A6681,2025-10-03,Bandung Hub,East Karen,Cargo Bicycle,Urban Last Mile,7.3,5.1,High,0.0,1
TRX-07880848,2025-02-22,Bandung Hub,North Claudia,Diesel Van (Euro 4),Mixed Route,133.8,7.9,Normal,36.89,0
TRX-F418F273,2025-05-30,Surabaya Warehouse,Johnsonview,Drone Delivery,Urban Last Mile,7.7,15.8,High,0.063,1
TRX-B46840C2,2025-12-01,Semarang Depot,Kristinville,Drone Delivery,Urban Last Mile,5.0,14.4,Normal,0.038,1
TRX-4091E5DA,2025-07-31,Jakarta Fulfillment Center,Weavermouth,Motorcycle (Courier),Inter-District,24.3,29.0,High,3.272,0
TRX-A6BADCB5,2025-08-19,Bandung Hub,Johnsonburgh,Heavy Truck,Inter-City,188.7,3026.8,Normal,154.411,0
TRX-8072B04F,2025-11-21,Surabaya Warehouse,Brandonport,Drone Delivery,Urban Last Mile,7.3,6.6,High,0.049,1
TRX-781769D4,2026-01-02,Semarang Depot,Lake Robin,Diesel Van (Euro 6),Mixed Route,43.0,4.9,High,10.673,0
TRX-C396C82C,2025-10-15,Medan Distribution,Mezachester,Motorcycle (Courier),Inter-District,37.7,2.7,Normal,3.408,0
TRX-17E20816,2025-06-30,Surabaya Warehouse,Hallton,Diesel Van (Euro 4),Mixed Route,49.5,28.6,Severe Congestion,21.66,0
TRX-8EB4670E,2025-06-19,Semarang Depot,Port Caseyview,Motorcycle (Courier),Inter-District,17.8,15.7,Severe Congestion,3.159,0
TRX-AB71C033,2025-08-03,Surabaya Warehouse,Batesberg,Electric Van (EV),Mixed Route,112.9,2.2,Normal,5.351,1
TRX-5287B6FB,2025-07-22,Semarang Depot,Oliverton,Motorcycle (Courier),Inter-District,20.4,1.3,High,2.576,0
TRX-EEDC1AC9,2025-05-22,Semarang Depot,West Ryan,Motorcycle (Courier),Inter-District,30.6,7.9,High,3.645,0
TRX-2A23DC07,2025-06-26,Medan Distribution,New Miguelshire,Diesel Van (Euro 4),Mixed Route,149.6,6.3,High,52.254,0
TRX-F9E357B6,2025-05-11,Medan Distribution,Kimberlyville,Drone Delivery,Urban Last Mile,9.0,27.6,Normal,0.088,1
TRX-C54DD114,2025-10-04,Makassar Port,Jasonmouth,Diesel Van (Euro 6),Mixed Route,111.4,12.9,High,28.39,0
TRX-9C577B6A,2025-04-14,Medan Distribution,New Shelleybury,Diesel Van (Euro 4),Mixed Route,137.4,3.3,High,46.603,0
TRX-986657BA,2025-07-06,Surabaya Warehouse,North Henrybury,Diesel Van (Euro 4),Mixed Route,110.0,29.7,Normal,29.746,0
TRX-69BFA079,2025-03-15,Semarang Depot,South Davidville,Diesel Van (Euro 6),Mixed Route,27.2,24.5,Normal,5.916,0
TRX-F7091DC6,2025-06-19,Surabaya Warehouse,Kingview,Diesel Van (Euro 6),Mixed Route,114.6,28.0,Normal,20.167,0
TRX-1CCCDBB1,2025-07-01,Semarang Depot,South Ryan,Motorcycle (Courier),Inter-District,13.8,6.5,High,1.748,0
TRX-A7E5DC78,2026-01-03,Jakarta Fulfillment Center,New Justin,Cargo Bicycle,Urban Last Mile,8.8,14.7,Normal,0.0,1
TRX-B28FAEC5,2025-01-13,Medan Distribution,Smithtown,Diesel Van (Euro 6),Mixed Route,15.6,14.8,High,3.662,0
TRX-6A80222A,2025-04-10,Medan Distribution,Lake Baileybury,Diesel Van (Euro 4),Mixed Route,71.8,12.7,Normal,19.751,0
TRX-BDE220A5,2025-02-23,Jakarta Fulfillment Center,Judyhaven,Diesel Van (Euro 6),Mixed Route,90.9,23.1,Normal,17.363,0
TRX-4E0AF535,2025-02-25,Makassar Port,Khanhaven,Motorcycle (Courier),Inter-District,10.3,19.3,Normal,1.174,0
TRX-55ED3D0D,2025-02-07,Semarang Depot,Thomashaven,Diesel Van (Euro 6),Mixed Route,73.7,13.3,Normal,12.982,0
TRX-F45E555D,2025-04-03,Semarang Depot,Douglasstad,Diesel Van (Euro 6),Mixed Route,72.1,28.7,Normal,13.426,0
TRX-880F43C1,2025-11-28,Makassar Port,Chavezmouth,Drone Delivery,Urban Last Mile,13.3,6.9,High,0.092,1
TRX-BC8BC3E4,2025-05-31,Surabaya Warehouse,Christinamouth,Diesel Van (Euro 6),Mixed Route,76.8,4.7,Severe Congestion,24.355,0
TRX-FC882D34,2025-01-20,Medan Distribution,West Jean,Cargo Bicycle,Urban Last Mile,15.0,5.9,High,0.0,1
TRX-01B26428,2025-12-02,Semarang Depot,Caldwellville,Cargo Bicycle,Urban Last Mile,4.8,26.1,High,0.0,1
TRX-DB6470AB,2025-10-13,Bandung Hub,Lake Stephaniehaven,Cargo Bicycle,Urban Last Mile,5.6,15.1,High,0.0,1
TRX-16D52B8D,2025-12-22,Jakarta Fulfillment Center,Erinfort,Electric Van (EV),Mixed Route,38.3,11.0,Normal,1.847,1
TRX-4466FD7F,2025-07-28,Medan Distribution,North Markstad,Diesel Van (Euro 6),Mixed Route,82.0,27.4,Severe Congestion,23.013,0
TRX-F4BF7932,2025-10-07,Jakarta Fulfillment Center,Williamsburgh,Heavy Truck,Inter-City,109.2,3340.1,High,123.559,0
TRX-76C2AC44,2025-12-22,Jakarta Fulfillment Center,West Derek,Cargo Bicycle,Urban Last Mile,14.1,4.7,Normal,0.0,1
TRX-928BD46F,2025-09-05,Jakarta Fulfillment Center,West Mistyton,Drone Delivery,Urban Last Mile,1.1,22.5,Severe Congestion,0.012,1
TRX-DB77FF7D,2025-03-03,Bandung Hub,Maldonadoview,Cargo Bicycle,Urban Last Mile,1.4,17.0,Normal,0.0,1
TRX-3696CFA9,2025-04-13,Medan Distribution,Kevinville,Diesel Van (Euro 4),Mixed Route,81.9,11.9,Low,19.555,0
TRX-A44BE7DA,2025-04-29,Bandung Hub,Adammouth,Diesel Van (Euro 4),Mixed Route,23.7,11.3,High,8.347,0
TRX-31D86CA0,2025-04-12,Semarang Depot,North John,Diesel Van (Euro 6),Mixed Route,122.9,21.7,Severe Congestion,39.901,0
TRX-EF24BADD,2025-01-13,Surabaya Warehouse,Lake Lori,Drone Delivery,Urban Last Mile,3.4,27.3,High,0.036,1
TRX-81A49E87,2025-03-04,Jakarta Fulfillment Center,East Samuel,Drone Delivery,Urban Last Mile,8.7,12.3,Low,0.068,1
TRX-1F647DB3,2025-09-21,Medan Distribution,Parkmouth,Electric Van (EV),Mixed Route,141.8,14.5,Normal,7.044,1
TRX-A6A22231,2026-01-01,Semarang Depot,Stevenfort,Electric Van (EV),Mixed Route,29.4,12.2,Low,1.347,1
TRX-3C7B3165,2025-09-03,Semarang Depot,South Caroline,Motorcycle (Courier),Inter-District,19.8,20.5,High,2.84,0
TRX-7900B6F5,2025-02-15,Bandung Hub,East Jasonstad,Drone Delivery,Urban Last Mile,11.6,11.4,Normal,0.09,1
TRX-70EC41EE,2025-03-04,Jakarta Fulfillment Center,South Benjaminchester,Motorcycle (Courier),Inter-District,8.3,19.9,High,1.146,0
TRX-8F3895B9,2025-05-20,Surabaya Warehouse,Reidport,Cargo Bicycle,Urban Last Mile,2.0,23.5,Low,0.0,1
TRX-31EC0332,2025-09-07,Semarang Depot,Ashleymouth,Motorcycle (Courier),Inter-District,34.1,26.2,Severe Congestion,6.092,0
TRX-07389491,2025-09-09,Makassar Port,Franklinmouth,Cargo Bicycle,Urban Last Mile,2.4,3.8,High,0.0,1
TRX-FA5775D6,2025-12-28,Surabaya Warehouse,South Megan,Electric Van (EV),Mixed Route,103.1,4.9,High,5.217,1
TRX-A74274C2,2025-06-21,Makassar Port,Kelleyberg,Motorcycle (Courier),Inter-District,10.4,21.9,Low,1.072,0
TRX-EB5B8EDA,2025-12-01,Surabaya Warehouse,Heatherview,Motorcycle (Courier),Inter-District,16.5,7.4,Low,1.315,0
TRX-36D6CCAC,2025-01-14,Medan Distribution,Rodriguezton,Cargo Bicycle,Urban Last Mile,7.8,29.3,Normal,0.0,1
TRX-6F421215,2025-12-16,Medan Distribution,North Jacobside,Electric Van (EV),Mixed Route,28.4,17.4,Normal,1.438,1
TRX-7C62FAA1,2025-11-03,Jakarta Fulfillment Center,Port David,Motorcycle (Courier),Inter-District,20.5,22.2,High,2.768,0
TRX-6A52F704,2025-04-23,Bandung Hub,West Elizabethberg,Heavy Truck,Inter-City,457.8,1186.5,High,549.425,0
TRX-531967E0,2025-04-08,Semarang Depot,Martinezfurt,Diesel Van (Euro 6),Mixed Route,15.4,7.8,Low,2.626,0
TRX-21008ACC,2025-10-01,Surabaya Warehouse,Kevinmouth,Drone Delivery,Urban Last Mile,4.7,3.7,Severe Congestion,0.032,1
TRX-38B05C59,2025-09-25,Jakarta Fulfillment Center,West Jamiebury,Diesel Van (Euro 4),Mixed Route,99.5,5.5,Low,24.249,0
TRX-B94065C6,2025-09-10,Makassar Port,South Autumn,Motorcycle (Courier),Inter-District,13.4,11.6,High,1.765,0
TRX-12B9055B,2025-07-07,Semarang Depot,Kevinfort,Cargo Bicycle,Urban Last Mile,3.8,24.0,Normal,0.0,1
TRX-1BD06225,2025-07-17,Surabaya Warehouse,Holtshire,Drone Delivery,Urban Last Mile,3.6,4.8,High,0.022,1
TRX-052733D4,2025-04-11,Medan Distribution,Wareburgh,Diesel Van (Euro 4),Mixed Route,108.7,16.8,Normal,33.434,0
TRX-1EF0820E,2025-08-23,Bandung Hub,Moorehaven,Drone Delivery,Urban Last Mile,4.3,4.4,Severe Congestion,0.03,1
TRX-047829C1,2025-12-10,Jakarta Fulfillment Center,Jeffhaven,Heavy Truck,Inter-City,637.5,3933.4,Low,475.937,0
TRX-6134EF22,2025-06-10,Jakarta Fulfillment Center,West Brandonhaven,Motorcycle (Courier),Inter-District,27.7,29.8,Low,2.732,0
TRX-C8B11DFE,2025-06-13,Surabaya Warehouse,South Derekport,Drone Delivery,Urban Last Mile,1.6,3.3,Normal,0.01,1
TRX-A1CB648A,2025-09-12,Semarang Depot,Stokesstad,Heavy Truck,Inter-City,777.4,3142.8,Normal,669.542,0
TRX-89DD3787,2025-04-23,Jakarta Fulfillment Center,Port Lisashire,Diesel Van (Euro 6),Mixed Route,126.2,18.2,High,30.33,0
TRX-1308E58E,2025-03-16,Surabaya Warehouse,Port Lindaville,Diesel Van (Euro 4),Mixed Route,13.0,18.8,High,4.547,0
TRX-610354D5,2025-11-15,Medan Distribution,Lake Michael,Diesel Van (Euro 6),Mixed Route,108.2,7.2,Normal,20.754,0
TRX-7A437D69,2025-01-30,Medan Distribution,Port Andrea,Cargo Bicycle,Urban Last Mile,14.9,18.4,High,0.0,1
TRX-CC8F7536,2025-01-22,Makassar Port,North Teresamouth,Motorcycle (Courier),Inter-District,38.2,13.3,Severe Congestion,5.992,0
TRX-EC835038,2025-08-02,Semarang Depot,West Andrea,Diesel Van (Euro 6),Mixed Route,50.4,13.3,Normal,9.414,0
TRX-46D761AE,2025-05-07,Jakarta Fulfillment Center,Lake Elizabethhaven,Motorcycle (Courier),Inter-District,14.7,27.1,Normal,1.569,0
TRX-290CBD98,2025-11-14,Makassar Port,Meganburgh,Drone Delivery,Urban Last Mile,10.7,15.7,High,0.094,1
TRX-7194D480,2025-08-24,Semarang Depot,Dianetown,Heavy Truck,Inter-City,113.7,2111.7,Severe Congestion,162.045,0
TRX-828F77A0,2025-12-17,Bandung Hub,Port Darryl,Electric Van (EV),Mixed Route,70.5,13.8,High,3.701,1
TRX-35283A0D,2025-08-13,Medan Distribution,Lucasview,Electric Van (EV),Mixed Route,31.8,10.2,Severe Congestion,1.925,1
TRX-501D0E11,2025-09-01,Makassar Port,Oneillbury,Electric Van (EV),Mixed Route,118.9,4.0,Normal,5.88,1
TRX-BD75B220,2025-10-10,Makassar Port,Michaelfurt,Drone Delivery,Urban Last Mile,5.7,27.9,Severe Congestion,0.07,1
TRX-37E6131F,2025-05-14,Semarang Depot,Lisaport,Electric Van (EV),Mixed Route,19.4,16.7,High,1.064,1
TRX-03B06F72,2025-09-14,Makassar Port,East Lisamouth,Drone Delivery,Urban Last Mile,4.4,2.9,Normal,0.023,1
TRX-CD55AED6,2025-05-06,Jakarta Fulfillment Center,Laurenhaven,Diesel Van (Euro 6),Mixed Route,44.1,18.5,Normal,7.963,0
TRX-5C8B2171,2025-06-13,Bandung Hub,Lake Michael,Diesel Van (Euro 4),Mixed Route,138.0,4.1,Severe Congestion,60.571,0
TRX-ECA35490,2025-04-27,Jakarta Fulfillment Center,Trevorburgh,Motorcycle (Courier),Inter-District,18.7,19.3,Normal,2.009,0
TRX-E4883585,2025-02-14,Semarang Depot,Melissamouth,Diesel Van (Euro 6),Mixed Route,70.1,1.4,Normal,12.986,0
TRX-1CCDE909,2025-10-13,Bandung Hub,Joelbury,Heavy Truck,Inter-City,299.3,625.9,Severe Congestion,404.602,0
TRX-BB56505B,2025-01-17,Jakarta Fulfillment Center,Millerland,Heavy Truck,Inter-City,747.2,1631.4,Normal,697.466,0
TRX-76E72751,2025-02-02,Makassar Port,Lake Cynthia,Diesel Van (Euro 4),Mixed Route,135.4,17.5,Normal,35.788,0
